Timestamp,RFID Tag,Antenna,Time Between Stamps
2024-05-30 15:36:36,E200 1AC1 9627 E100 1039 0F83,0,0
2024-05-30 15:36:39,E200 1AC1 9627 E100 1039 0F83,0,3.005
2024-05-30 15:36:42,E200 1AC1 9627 E100 1039 0F83,0,3.007
2024-05-30 15:36:45,E200 1AC1 9627 E100 1039 0F83,0,3.005
2024-05-30 15:36:48,E200 1AC1 9627 E100 1039 0F83,0,3.004
2024-05-30 15:36:51,E200 1AC1 9627 E100 1039 0F83,0,3.004
2024-05-30 15:36:54,E200 1AC1 9627 E100 1039 0F83,0,3.006
2024-05-30 15:36:57,E200 1AC1 9627 E100 1039 0F83,0,3.006
2024-05-30 15:37:00,E200 1AC1 9627 E100 1039 0F83,0,3.004
2024-05-30 15:37:03,E200 1AC1 9627 E100 1039 0F83,0,3.005
2024-05-30 15:37:06,E200 1AC1 9627 E100 1039 0F83,0,3.005
2024-05-30 15:37:09,E200 1AC1 9627 E100 1039 0F83,0,3.004
2024-05-30 15:37:12,E200 1AC1 9627 E100 1039 0F83,0,3.005
2024-05-30 15:37:15,E200 1AC1 9627 E100 1039 0F83,0,3.006
2024-05-30 15:37:18,E200 1AC1 9627 E100 1039 0F83,0,3.005
2024-05-30 15:37:19,E200 1AC1 9627 C000 1039 0EFF,0,0
Timestamp,RFID Tag,Antenna,Time Between Stamps
2024-05-30 15:38:33,E200 1AC1 9627 E100 1039 0F83,0,0
2024-05-30 15:38:35,E200 1AC1 9627 C000 1039 0EFF,0,0
2024-05-30 15:38:41,E200 1AC1 9627 E100 1039 0F83,0,8.009
2024-05-30 15:38:43,E200 1AC1 9627 C000 1039 0EFF,0,8.008
2024-05-30 15:38:49,E200 1AC1 9627 E100 1039 0F83,0,8.008
2024-05-30 15:38:51,E200 1AC1 9627 C000 1039 0EFF,0,8.008
2024-05-30 15:38:57,E200 1AC1 9627 E100 1039 0F83,0,8.008
2024-05-30 15:38:59,E200 1AC1 9627 C000 1039 0EFF,0,8.008
2024-05-30 15:39:05,E200 1AC1 9627 E100 1039 0F83,0,8.007
2024-05-30 15:39:07,E200 1AC1 9627 C000 1039 0EFF,0,8.008
2024-05-30 15:39:13,E200 1AC1 9627 E100 1039 0F83,0,8.01
2024-05-30 15:39:15,E200 1AC1 9627 C000 1039 0EFF,0,8.012
2024-05-30 15:39:21,E200 1AC1 9627 E100 1039 0F83,0,8.007
2024-05-30 15:39:23,E200 1AC1 9627 C000 1039 0EFF,0,8.007
2024-05-30 15:39:29,E200 1AC1 9627 E100 1039 0F83,0,8.009
2024-05-30 15:39:31,E200 1AC1 9627 C000 1039 0EFF,0,8.011
2024-05-30 15:39:37,E200 1AC1 9627 E100 1039 0F83,0,8.01
2024-05-30 15:39:39,E200 1AC1 9627 C000 1039 0EFF,0,8.008
2024-05-30 15:39:45,E200 1AC1 9627 E100 1039 0F83,0,8.009
2024-05-30 15:39:47,E200 1AC1 9627 C000 1039 0EFF,0,8.008
2024-05-30 15:39:53,E200 1AC1 9627 E100 1039 0F83,0,8.008
2024-05-30 15:39:55,E200 1AC1 9627 C000 1039 0EFF,0,8.007
2024-05-30 15:40:01,E200 1AC1 9627 E100 1039 0F83,0,8.007
2024-05-30 15:40:03,E200 1AC1 9627 C000 1039 0EFF,0,8.009
2024-05-30 15:40:09,E200 1AC1 9627 E100 1039 0F83,0,8.007
2024-05-30 15:40:11,E200 1AC1 9627 C000 1039 0EFF,0,8.006
2024-05-30 15:40:17,E200 1AC1 9627 E100 1039 0F83,0,8.01
2024-05-30 15:40:20,E200 1AC1 9627 C000 1039 0EFF,0,8.011
2024-05-30 15:40:26,E200 1AC1 9627 E100 1039 0F83,0,8.008
2024-05-30 15:40:28,E200 1AC1 9627 C000 1039 0EFF,0,8.007
2024-05-30 15:40:34,E200 1AC1 9627 E100 1039 0F83,0,8.008
2024-05-30 15:40:36,E200 1AC1 9627 C000 1039 0EFF,0,8.007
2024-05-30 15:40:42,E200 1AC1 9627 E100 1039 0F83,0,8.007
2024-05-30 15:40:44,E200 1AC1 9627 C000 1039 0EFF,0,8.008
2024-05-30 15:40:50,E200 1AC1 9627 E100 1039 0F83,0,8.008
2024-05-30 15:40:52,E200 1AC1 9627 C000 1039 0EFF,0,8.008
2024-05-30 15:40:58,E200 1AC1 9627 E100 1039 0F83,0,8.008
2024-05-30 15:41:00,E200 1AC1 9627 C000 1039 0EFF,0,8.007
2024-05-30 15:41:06,E200 1AC1 9627 E100 1039 0F83,0,8.008
2024-05-30 15:41:08,E200 1AC1 9627 C000 1039 0EFF,0,8.009
2024-05-30 15:41:14,E200 1AC1 9627 E100 1039 0F83,0,8.009
2024-05-30 15:41:16,E200 1AC1 9627 C000 1039 0EFF,0,8.007
2024-05-30 15:41:22,E200 1AC1 9627 E100 1039 0F83,0,8.009
2024-05-30 15:41:24,E200 1AC1 9627 C000 1039 0EFF,0,8.008
2024-05-30 15:41:32,E200 1AC1 9627 E100 1039 0F83,0,10.009
2024-05-30 15:41:34,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:41:40,E200 1AC1 9627 E100 1039 0F83,0,6.003
2024-05-30 15:41:42,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:41:48,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:41:50,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:41:56,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:41:58,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:42:04,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:42:06,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:42:12,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:42:14,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:42:20,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:42:22,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:42:28,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:42:30,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:42:36,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:42:38,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:42:44,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:42:46,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:42:52,E200 1AC1 9627 E100 1039 0F83,0,6.007
2024-05-30 15:42:54,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:43:00,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:43:02,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:43:08,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:43:10,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:43:16,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:43:18,E200 1AC1 9627 E100 1039 0F83,0,2.003
